ts,t_sec,gpu,sm_pct,mem_pct,mem_used_MiB,mem_total_MiB,mem_free_MiB,vram_used_pct,proc_mem_MiB,sm_clock_MHz,power_W
2025-09-09T11:12:53.329,0.002,1,0,0,1314.0,49140.0,47826.0,2.7,690.0,1800,87.3
2025-09-09T11:12:53.430,0.103,1,0,0,1322.0,49140.0,47818.0,2.7,698.0,1800,87.3
2025-09-09T11:12:53.531,0.204,1,0,0,1334.0,49140.0,47806.0,2.7,710.0,1800,87.3
2025-09-09T11:12:53.632,0.305,1,0,0,1354.0,49140.0,47786.0,2.8,730.0,1800,87.3
2025-09-09T11:12:53.733,0.406,1,0,0,1354.0,49140.0,47786.0,2.8,730.0,1935,95.9
2025-09-09T11:12:53.835,0.508,1,0,0,1354.0,49140.0,47786.0,2.8,730.0,1935,95.9
2025-09-09T11:12:53.936,0.609,1,0,0,1354.0,49140.0,47786.0,2.8,730.0,1935,95.9
2025-09-09T11:12:54.037,0.710,1,0,0,1354.0,49140.0,47786.0,2.8,730.0,1935,95.9
2025-09-09T11:12:54.138,0.811,1,0,0,1354.0,49140.0,47786.0,2.8,730.0,1935,95.9
2025-09-09T11:12:54.240,0.913,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,113.2
2025-09-09T11:12:54.612,1.285,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,113.2
2025-09-09T11:12:54.713,1.386,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,113.2
2025-09-09T11:12:54.814,1.487,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:54.915,1.589,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.017,1.690,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.118,1.791,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.219,1.892,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.320,1.993,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.422,2.095,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.523,2.196,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:55.625,2.298,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:56.086,2.759,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,124.6
2025-09-09T11:12:56.187,2.861,1,22,4,1354.0,49140.0,47786.0,2.8,730.0,1935,124.6
2025-09-09T11:12:56.289,2.962,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:56.389,3.063,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:56.491,3.164,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:56.592,3.265,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:56.693,3.366,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,126.0
2025-09-09T11:12:56.794,3.467,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,125.2
2025-09-09T11:12:56.895,3.568,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,125.2
2025-09-09T11:12:56.996,3.670,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,125.2
2025-09-09T11:12:57.098,3.771,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,125.2
2025-09-09T11:12:57.493,4.166,1,21,4,1354.0,49140.0,47786.0,2.8,730.0,1935,122.0
2025-09-09T11:12:57.594,4.267,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.0
2025-09-09T11:12:57.696,4.369,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.0
2025-09-09T11:12:57.797,4.470,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:57.898,4.571,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:57.999,4.672,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.100,4.774,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.202,4.875,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.303,4.976,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.404,5.077,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.505,5.178,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.834,5.507,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.7
2025-09-09T11:12:58.935,5.608,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.2
2025-09-09T11:12:59.036,5.709,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.2
2025-09-09T11:12:59.138,5.811,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.2
2025-09-09T11:12:59.239,5.912,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,122.2
2025-09-09T11:12:59.340,6.013,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.0
2025-09-09T11:12:59.441,6.114,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.0
2025-09-09T11:12:59.542,6.215,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.0
2025-09-09T11:12:59.643,6.317,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.0
2025-09-09T11:12:59.745,6.418,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.0
2025-09-09T11:12:59.846,6.519,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.2
2025-09-09T11:13:00.174,6.847,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.2
2025-09-09T11:13:00.275,6.948,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.2
2025-09-09T11:13:00.376,7.049,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.1
2025-09-09T11:13:00.477,7.150,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.1
2025-09-09T11:13:00.579,7.252,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.1
2025-09-09T11:13:00.680,7.353,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.1
2025-09-09T11:13:00.781,7.454,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1935,123.1
2025-09-09T11:13:00.882,7.555,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1800,121.7
2025-09-09T11:13:00.983,7.657,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1800,121.7
2025-09-09T11:13:01.085,7.758,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1800,121.7
2025-09-09T11:13:01.186,7.859,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1800,121.7
2025-09-09T11:13:01.609,8.282,1,16,3,1354.0,49140.0,47786.0,2.8,730.0,1800,112.7
2025-09-09T11:13:01.710,8.383,1,17,3,1354.0,49140.0,47786.0,2.8,730.0,1800,112.7
