ts,t_sec,gpu,sm_pct,mem_pct,mem_used_MiB,mem_total_MiB,mem_free_MiB,vram_used_pct,proc_mem_MiB,sm_clock_MHz,power_W
2025-09-09T11:14:15.495,0.002,1,21,0,1140.0,49140.0,48000.0,2.3,516.0,1800,48.9
2025-09-09T11:14:15.596,0.103,1,21,0,1144.0,49140.0,47996.0,2.3,520.0,1800,48.9
2025-09-09T11:14:15.697,0.204,1,21,0,1184.0,49140.0,47956.0,2.4,560.0,1800,48.9
2025-09-09T11:14:15.798,0.305,1,21,0,1198.0,49140.0,47942.0,2.4,574.0,1800,48.9
2025-09-09T11:14:15.899,0.406,1,21,0,1198.0,49140.0,47942.0,2.4,574.0,1800,48.9
2025-09-09T11:14:16.000,0.507,1,21,0,1198.0,49140.0,47942.0,2.4,574.0,1800,62.3
2025-09-09T11:14:16.404,0.911,1,21,0,1198.0,49140.0,47942.0,2.4,574.0,1800,62.3
2025-09-09T11:14:16.506,1.013,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,104.8
2025-09-09T11:14:16.607,1.114,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,104.8
2025-09-09T11:14:16.708,1.216,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,104.8
2025-09-09T11:14:16.810,1.317,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,104.8
2025-09-09T11:14:16.911,1.418,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,104.8
2025-09-09T11:14:17.012,1.519,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,119.9
2025-09-09T11:14:17.113,1.621,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,119.9
2025-09-09T11:14:17.215,1.722,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,119.9
2025-09-09T11:14:17.316,1.823,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,119.9
2025-09-09T11:14:17.417,1.924,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,119.9
2025-09-09T11:14:17.895,2.402,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,128.1
2025-09-09T11:14:17.996,2.503,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,131.9
2025-09-09T11:14:18.098,2.605,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,131.9
2025-09-09T11:14:18.199,2.706,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,131.9
2025-09-09T11:14:18.300,2.807,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,131.9
2025-09-09T11:14:18.403,2.910,1,21,6,1198.0,49140.0,47942.0,2.4,574.0,1935,131.9
2025-09-09T11:14:18.504,3.011,1,18,5,1198.0,49140.0,47942.0,2.4,574.0,1935,131.6
