ts,t_sec,gpu,sm_pct,mem_pct,mem_used_MiB,mem_total_MiB,mem_free_MiB,vram_used_pct,proc_mem_MiB,sm_clock_MHz,power_W
2025-09-09T10:58:51.069,0.002,1,0,0,1476.0,49140.0,47664.0,3.0,852.0,1800,87.6
2025-09-09T10:58:51.170,0.103,1,19,0,1504.0,49140.0,47636.0,3.1,880.0,1905,88.2
2025-09-09T10:58:51.271,0.204,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1905,88.2
2025-09-09T10:58:51.372,0.305,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1905,88.2
2025-09-09T10:58:51.473,0.406,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1905,88.2
2025-09-09T10:58:51.574,0.507,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1905,88.2
2025-09-09T10:58:51.675,0.608,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1920,152.7
2025-09-09T10:58:51.776,0.709,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1920,152.7
2025-09-09T10:58:51.877,0.811,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1920,152.7
2025-09-09T10:58:51.979,0.912,1,19,0,2338.0,49140.0,46802.0,4.8,1714.0,1920,152.7
