timestamp, index, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2025/09/19 18:14:35.113, 0, 96.97 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:35.114, 1, 91.65 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:36.116, 0, 96.87 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:36.155, 1, 76.94 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:37.156, 0, 96.68 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:37.156, 1, 94.15 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:38.288, 0, 96.61 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:38.288, 1, 82.29 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:39.288, 0, 88.41 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:39.288, 1, 71.38 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:40.289, 0, 69.68 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:40.317, 1, 74.51 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:41.536, 0, 58.58 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:41.539, 1, 58.58 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:42.539, 0, 61.56 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:42.539, 1, 46.16 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:43.540, 0, 80.49 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:43.540, 1, 76.38 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:44.540, 0, 96.62 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:44.540, 1, 75.97 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:45.628, 0, 57.19 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:45.671, 1, 67.54 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:46.672, 0, 46.72 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:46.673, 1, 63.96 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:47.673, 0, 49.06 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:47.673, 1, 63.38 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:48.673, 0, 67.81 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:48.731, 1, 52.95 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:49.732, 0, 94.06 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:49.732, 1, 62.70 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:50.831, 0, 94.46 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:50.831, 1, 83.15 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:51.831, 0, 91.60 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:51.831, 1, 70.04 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:52.832, 0, 58.58 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:52.832, 1, 87.19 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:53.875, 0, 79.33 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:53.875, 1, 107.10 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:54.875, 0, 92.12 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:54.875, 1, 106.65 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:55.876, 0, 92.12 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:55.876, 1, 91.51 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:56.876, 0, 76.57 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:56.876, 1, 82.17 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:57.877, 0, 92.22 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:57.877, 1, 101.39 W, 0 %, 0 %, 15 MiB
2025/09/19 18:14:58.877, 0, 94.88 W, 0 %, 0 %, 16 MiB
2025/09/19 18:14:59.033, 1, 105.29 W, 0 %, 0 %, 15 MiB
